Type,X,Y,OBJECTID,Call_Taken,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg,STREET_TYPE,distance,duration,,,,,,,,
TOW,-93.288113,45.029786,13,02/12/2019 10:11pm,"4100 lyndale ave n,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster,CSAH,6800.6,539.0,,,,,,,,
TOW,-93.234368,44.988003,14,02/12/2019 10:14pm,"1203 como ave se,Minneapolis,MN",44.988003,-93.234368,2,University,Como,4,1,Westminster,MSA,5550.7,619.4,,,,,,,,
TOW,-93.288113,45.029786,15,02/12/2019 10:14pm,"4100 Lyndale Ave N,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster,CSAH,6800.6,539.0,,,,,,,,
TOW,-93.288113,45.029786,16,02/12/2019 10:14pm,"4100 lyndale ave n,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster,CSAH,6800.6,539.0,,,,,,,,
TOW,-93.26271,44.901657,17,02/12/2019 10:18pm,"5580 Chicago Avenue South,Minneapolis,MN",44.901657,-93.26271,11,Nokomis,Diamond Lake,5,1,Westminster,MSA,10994.7,1002.6,,,,,,,,
TOW,-93.286223,45.038466,18,02/12/2019 10:19pm,"4600-4698 lyndale ave n ,Minneapolis,MN",45.038466,-93.286223,4,Camden,Camden Industrial,1,1,Westminster,MSA,9018.5,642.6,,,,,,,,
TOW,-93.284856,45.043116,19,02/12/2019 10:21pm,"4816 Lyndale Ave n,Minneapolis,MN",45.043116,-93.284856,4,Camden,Lind - Bohanon,1,1,Westminster,MSA,15142.7,872.7,,,,,,,,
TOW,-93.294142,45.010084,20,02/12/2019 10:23pm,"2914 emerson,Minneapolis,MN",45.010084,-93.294142,5,Near North,Hawthorne,1,1,Westminster,MSA,3934.5,428.7,,,,,,,,
TOW,-93.270034,44.980257,21,02/12/2019 10:23pm,"300 Block of central,Minneapolis,MN",44.980257,-93.270034,3,Central,Downtown West,3,1,Westminster,MSA,2208.3,279.0,,,,,,,,
TOW,-93.291119,45.036847,22,02/12/2019 10:24pm,"4500-4598 Bryant ave n ,Minneapolis,MN",45.036847,-93.291119,4,Camden,Lind - Bohanon,1,1,Westminster,MSA,9291.2,644.9,,,,,,,,
TOW,-93.262861,44.923878,23,02/12/2019 10:25pm,"4340 Chicago Avenue South,Minneapolis,MN",44.923878,-93.262861,8,Nokomis,Regina,5,1,Westminster,MSA,8567.8,793.2,,,,,,,,
TOW,-93.262822,44.929857,24,02/12/2019 10:28pm,"4020 Chicago Avenue South,Minneapolis,MN",44.929857,-93.262822,8,Powderhorn,Bryant,5,1,Westminster,MSA,7906.1,743.6,,,,,,,,
TOW,-93.236833,45.030075,25,02/12/2019 10:29pm,"3419 Johnson st ne,Minneapolis,MN",45.030075,-93.236833,1,Northeast,Waite Park,2,1,Westminster,MSA,9671.8,876.4,,,,,,,,
TOW,-93.24743,45.02568,26,02/12/2019 10:31pm,"3194 Central Ave NE,Minneapolis,MN",45.02568,-93.24743,1,Northeast,Columbia Park,2,1,Westminster,STH,8398.1,781.8,,,,,,,,
TOW,-93.262901,44.916003,27,02/12/2019 10:33pm,"4800 Chicago ave s,Minneapolis,MN",44.916003,-93.262901,8,Nokomis,Field,5,1,Westminster,RES,9413.0,864.4,,,,,,,,
TOW,-93.248712,44.984692,28,02/12/2019 10:35pm,"503 unniversity ave se,Minneapolis,MN",44.984692,-93.248712,3,University,Marcy Holmes,4,1,Westminster,RES,4304.4,485.4,,,,,,,,
TOW,-93.262689,44.948357,29,02/12/2019 10:35pm,"3000 Chicago ave s,Minneapolis,MN",44.948357,-93.262689,6,Phillips,Phillips West,3,1,Westminster,CSAH,5848.1,573.8,,,,,,,,
TOW,-93.236807,45.021465,30,02/12/2019 10:36pm,"2935 Johnson st NE,Minneapolis,MN",45.021465,-93.236807,1,Northeast,Audubon Park,2,1,Westminster,MSA,8714.2,799.8,,,,,,,,
TOW,-93.279706,44.946574,31,02/12/2019 10:37pm,"3100 block of Blaisdell Avenue so,Minneapolis,MN",44.946574,-93.279706,8,Powderhorn,Lyndale,5,1,Westminster,MSA,4707.8,465.1,,,,,,,,
TOW,-93.313643,45.033374,32,02/12/2019 10:38pm,"4299 Thomas Ave n ,Minneapolis,MN",45.033374,-93.313643,4,Camden,Victory,1,1,Westminster,RES,7674.4,697.7,,,,,,,,
TOW,-93.280114,44.944558,33,02/12/2019 10:41pm,"3200 block of Blaisdell Avenue so,Minneapolis,MN",44.944558,-93.280114,8,Powderhorn,Lyndale,5,1,Westminster,RES,4942.9,487.0,,,,,,,,
TOW,-93.242507,44.964018,34,02/12/2019 10:41pm,"21st Ave and 9th st s,Minneapolis,MN",44.964018,-93.242507,6,Longfellow,Seward,4,1,Westminster,LOCAL,6607.9,602.6,,,,,,,,
TOW,-93.247964,44.984395,35,02/12/2019 10:44pm,"523 university ave se,Minneapolis,MN",44.984395,-93.247964,3,University,Marcy Holmes,4,1,Westminster,STH,4351.7,486.7,,,,,,,,
TOW,-93.247368,45.008882,36,02/12/2019 10:46pm,"1998 Central ave ne,Minneapolis,MN",45.008882,-93.247368,1,Northeast,Holland,2,1,Westminster,STH,6568.6,641.1,,,,,,,,
TOW,-93.247412,45.029434,37,02/12/2019 10:49pm,"3400 Block of central ave Ne,Minneapolis,MN",45.029434,-93.247412,1,Northeast,Columbia Park,2,1,Westminster,STH,9211.9,851.4,,,,,,,,
TOW,-93.245131,44.983287,38,02/12/2019 10:53pm,"717 university ave se,Minneapolis,MN",44.983287,-93.245131,3,University,Marcy Holmes,4,1,Westminster,STH,4606.3,509.7,,,,,,,,
TOW,-93.280114,44.944558,39,02/12/2019 10:54pm,"3200 Blaisdell ave south,Minneapolis,MN",44.944558,-93.280114,8,Powderhorn,Lyndale,5,1,Westminster,RES,4942.9,487.0,,,,,,,,
TOW,-93.248486,44.984603,40,02/12/2019 10:54pm,"507 UNIVERSITY AVE SE,Minneapolis,MN",44.984603,-93.248486,3,University,Marcy Holmes,4,1,Westminster,STH,4304.6,482.5,,,,,,,,
TOW,-93.290328,44.988667,41,02/12/2019 10:57pm,"1049 7th st n,Minneapolis,MN",44.988667,-93.290328,5,Near North,Sumner - Glenwood,1,1,Westminster,MSA,1644.6,251.9,,,,,,,,
TOW,-93.252412,44.937765,42,02/12/2019 10:58pm,"3598 Bloomington ave s,Minneapolis,MN",44.937765,-93.252412,9,Powderhorn,Powderhorn Park,6,1,Westminster,MSA,7822.6,727.2,,,,,,,,
TOW,-93.244366,44.982961,43,02/12/2019 10:59pm,"803 UNIVERSITY AVE SE,Minneapolis,MN",44.982961,-93.244366,3,University,Marcy Holmes,4,1,Westminster,STH,4683.6,519.7,,,,,,,,
TOW,-93.252835,44.910536,44,02/12/2019 11:00pm,"5100 Bloomington,Minneapolis,MN",44.910536,-93.252835,11,Nokomis,Hale,6,1,Westminster,RES,10865.3,987.0,,,,,,,,
TOW,-93.26294,44.941224,45,02/12/2019 11:02pm,"3400 chicago,Minneapolis,MN",44.941224,-93.26294,9,Powderhorn,Central,5,1,Westminster,RES,6600.2,635.5,,,,,,,,
TOW,-93.253233,45.001206,46,02/12/2019 11:03pm,"687 13th ave NE,Minneapolis,MN",45.001206,-93.253233,1,Northeast,Logan Park,2,1,Westminster,MSA,5376.4,538.0,,,,,,,,
TOW,-93.275241,44.987824,47,02/12/2019 11:04pm,"625 2nd st N,Minneapolis,MN",44.987824,-93.275241,3,Central,North Loop,1,1,Westminster,MSA,2732.6,320.3,,,,,,,,
TOW,-93.275235,44.987801,48,02/12/2019 11:04pm,"619 2nd st n ,Minneapolis,MN",44.987801,-93.275235,3,Central,North Loop,1,1,Westminster,MSA,2730.5,320.0,,,,,,,,
TOW,-93.263092,45.007453,49,02/12/2019 11:06pm,"1899 University ave ne,Minneapolis,MN",45.007453,-93.263092,1,Northeast,Holland,2,1,Westminster,RES,5170.8,516.3,,,,,,,,
TOW,-93.260985,45.00074,50,02/12/2019 11:10pm,"414 13th ave NE,Minneapolis,MN",45.00074,-93.260985,3,Northeast,Sheridan,2,1,Westminster,MSA,4633.0,475.2,,,,,,,,
TOW,-93.279706,44.946574,51,02/12/2019 11:11pm,"3100 blaisdell ave so,Minneapolis,MN",44.946574,-93.279706,8,Powderhorn,Lyndale,5,1,Westminster,MSA,4707.8,465.1,,,,,,,,
TOW,-93.260148,45.000913,52,02/12/2019 11:12pm,"509 13th ave ne,Minneapolis,MN",45.000913,-93.260148,3,Northeast,Sheridan,2,1,Westminster,MSA,4673.9,476.6,,,,,,,,
TOW,-93.279706,44.946574,53,02/12/2019 11:13pm,"3100 blaisdell ave so,Minneapolis,MN",44.946574,-93.279706,8,Powderhorn,Lyndale,5,1,Westminster,MSA,4707.8,465.1,,,,,,,,
TOW,-93.30069,44.952824,54,02/12/2019 11:19pm,"2737 Irving ave s ,Minneapolis,MN",44.952824,-93.30069,7,Calhoun Isle,East Isles,3,1,Westminster,RES,3933.7,442.9,,,,,,,,
TOW,-93.252411,44.935934,55,02/12/2019 11:21pm,"3699 bloomington ave,Minneapolis,MN",44.935934,-93.252411,9,Powderhorn,Powderhorn Park,6,1,Westminster,RES,8029.5,743.8,,,,,,,,
TOW,-93.301717,44.949748,56,02/12/2019 11:21pm,"2871 IRVING AVE S ,Minneapolis,MN",44.949748,-93.301717,7,Calhoun Isle,East Isles,3,1,Westminster,PRKBD,4531.2,500.1,,,,,,,,
TOW,-93.270668,44.987426,57,02/12/2019 11:22pm,"98 4th ave n,Minneapolis,MN",44.987426,-93.270668,3,Central,North Loop,3,1,Westminster,LOCAL,2702.7,375.1,,,,,,,,
TOW,-93.301214,44.953351,58,02/12/2019 11:24pm,"2724 Irving Ave S,Minneapolis,MN",44.953351,-93.301214,7,Calhoun Isle,East Isles,3,1,Westminster,RES,3947.5,448.9,,,,,,,,
TOW,-93.313889,45.029676,59,02/12/2019 11:24pm,"4101 THOMAS AVE N ,Minneapolis,MN",45.029676,-93.313889,4,Camden,Victory,1,1,Westminster,RES,7270.7,668.0,,,,,,,,
TOW,-93.219833,44.970796,60,02/12/2019 11:25pm,"177 27th ave se,Minneapolis,MN",44.970796,-93.219833,2,University,Prospect Park - East River Road,4,1,Westminster,CSAH,8749.4,753.0,,,,,,,,
TOW,-93.299396,44.956818,61,02/12/2019 11:26pm,"2513 IRVING AVE S,Minneapolis,MN",44.956818,-93.299396,7,Calhoun Isle,East Isles,3,1,Westminster,RES,3934.4,398.8,,,,,,,,
TOW,-93.269484,44.988078,62,02/12/2019 11:26pm,"101 4th ave n,Minneapolis,MN",44.988078,-93.269484,3,Central,North Loop,3,1,Westminster,LOCAL,3664.9,404.4,,,,,,,,
TOW,-93.301776,44.951186,63,02/12/2019 11:27pm,"2841 Irving Ave s,Minneapolis,MN",44.951186,-93.301776,7,Calhoun Isle,East Isles,3,1,Westminster,RES,4412.8,510.7,,,,,,,,
TOW,-93.313603,45.031304,64,02/12/2019 11:29pm,"4199 thomas ave n,Minneapolis,MN",45.031304,-93.313603,4,Camden,Victory,1,1,Westminster,MSA,7444.2,679.3,,,,,,,,
TOW,-93.294478,45.000416,65,02/12/2019 11:32pm,"2101 EMERSON AVE N ,Minneapolis,MN",45.000416,-93.294478,5,Near North,Jordan,1,1,Westminster,RES,2870.7,346.7,,,,,,,,
TOW,-93.302348,44.951622,66,02/12/2019 11:32pm,"2832 Irving Ave s,Minneapolis,MN",44.951622,-93.302348,7,Calhoun Isle,East Isles,3,1,Westminster,RES,4458.1,518.9,,,,,,,,
TOW,-93.239049,44.963982,67,02/12/2019 11:33pm,"2242 9TH ST S,Minneapolis,MN",44.963982,-93.239049,6,Longfellow,Seward,4,1,Westminster,LOCAL,6877.7,648.6,,,,,,,,
TOW,-93.223326,44.900518,68,02/12/2019 11:36pm,"5642 34 ave s,Minneapolis,MN",44.900518,-93.223326,11,Nokomis,Wenonah,6,1,Westminster,MSA,13072.5,1062.1,,,,,,,,
TOW,-93.268821,45.00028,69,02/12/2019 11:36pm,"120 13th ave,Minneapolis,MN",45.00028,-93.268821,3,Northeast,Sheridan,2,1,Westminster,MSA,4393.5,440.7,,,,,,,,
TOW,-93.278261,44.98543,70,02/12/2019 11:37pm,"600 4th st n,Minneapolis,MN",44.98543,-93.278261,3,Central,North Loop,1,1,Westminster,MSA,2026.5,277.0,,,,,,,,
TOW,-93.294416,44.998861,71,02/12/2019 11:38pm,"1901 Emerson ave n ,Minneapolis,MN",44.998861,-93.294416,5,Near North,Near - North,1,1,Westminster,CSAH,2684.4,328.7,,,,,,,,
TOW,-93.232415,44.988021,72,02/12/2019 11:39pm,"1313 como ave se,Minneapolis,MN",44.988021,-93.232415,2,University,Como,4,1,Westminster,MSA,5704.7,631.7,,,,,,,,
TOW,-93.239905,44.963688,73,02/12/2019 11:40pm,"2211 9th st s,Minneapolis,MN",44.963688,-93.239905,6,Longfellow,Seward,4,1,Westminster,LOCAL,6818.7,634.4,,,,,,,,
TOW,-93.301214,44.953351,74,02/12/2019 11:43pm,"2724 IRVING AVE S,Minneapolis,MN",44.953351,-93.301214,7,Calhoun Isle,East Isles,3,1,Westminster,RES,3947.5,448.9,,,,,,,,
TOW,-93.301796,44.950621,75,02/12/2019 11:43pm,"2857 Irving ave s ,Minneapolis,MN",44.950621,-93.301796,7,Calhoun Isle,East Isles,3,1,Westminster,RES,4350.1,499.5,,,,,,,,
TOW,-93.279744,44.934105,76,02/12/2019 11:44pm,"3800 blaisdell ave so,Minneapolis,MN",44.934105,-93.279744,8,Southwest,King Field,5,1,Westminster,MSA,6094.0,576.0,,,,,,,,
TOW,-93.239958,44.963689,77,02/12/2019 11:44pm,"2217 9TH ST S,Minneapolis,MN",44.963689,-93.239958,6,Longfellow,Seward,4,1,Westminster,LOCAL,6814.5,633.4,,,,,,,,
TOW,-93.229763,44.987685,78,02/12/2019 11:45pm,"1512 como ave se,Minneapolis,MN",44.987685,-93.229763,2,University,Como,4,1,Westminster,MSA,5913.1,650.4,,,,,,,,
TOW,-93.267222,45.001252,79,02/12/2019 11:46pm,"143 13th ave ne,Minneapolis,MN",45.001252,-93.267222,3,Northeast,Sheridan,2,1,Westminster,MSA,4596.5,469.2,,,,,,,,
TOW,-93.226506,44.969891,80,02/12/2019 11:48pm,"609 oak st se,Minneapolis,MN",44.969891,-93.226506,2,University,Prospect Park - East River Road,4,1,Westminster,MSA,8455.1,703.6,,,,,,,,
TOW,-93.266674,45.001099,81,02/12/2019 11:50pm,"171 13th ave,Minneapolis,MN",45.001099,-93.266674,3,Northeast,Sheridan,2,1,Westminster,MSA,4462.7,458.5,,,,,,,,
TOW,-93.301796,44.950621,82,02/12/2019 11:51pm,"2857 IRVING AVE S ,Minneapolis,MN",44.950621,-93.301796,7,Calhoun Isle,East Isles,3,1,Westminster,RES,4350.1,499.5,,,,,,,,
TOW,-93.281374,44.988633,83,02/12/2019 11:51pm,"901 3rd st n,Minneapolis,MN",44.988633,-93.281374,3,Central,North Loop,1,1,Westminster,MSA,2180.4,250.6,,,,,,,,
TOW,-93.280074,44.942774,84,02/12/2019 11:52pm,"3300 block of Blaisdell Avenue so,Minneapolis,MN",44.942774,-93.280074,8,Powderhorn,Lyndale,5,1,Westminster,RES,5140.0,502.5,,,,,,,,
TOW,-93.278261,44.98543,85,02/12/2019 11:52pm,"600 4th st n,Minneapolis,MN",44.98543,-93.278261,3,Central,North Loop,1,1,Westminster,MSA,2026.5,277.0,,,,,,,,
TOW,-93.238172,44.967234,86,02/12/2019 11:55pm,"24TH AVE S & 9TH ST ,Minneapolis,MN",44.967234,-93.238172,2,University,Cedar Riverside,4,1,Westminster,MSA,6980.8,636.1,,,,,,,,
TOW,-93.280074,44.942774,87,02/12/2019 11:56pm,"3300 block of Blaisdell Avenue so,Minneapolis,MN",44.942774,-93.280074,8,Powderhorn,Lyndale,5,1,Westminster,RES,5140.0,502.5,,,,,,,,
TOW,-93.301776,44.951186,88,02/12/2019 11:56pm,"2841 Irving av s ,Minneapolis,MN",44.951186,-93.301776,7,Calhoun Isle,East Isles,3,1,Westminster,RES,4412.8,510.7,,,,,,,,
TOW,-93.300006,44.954523,89,02/12/2019 11:57pm,"2643 IRVING AVE S,Minneapolis,MN",44.954523,-93.300006,7,Calhoun Isle,East Isles,3,1,Westminster,RES,3836.7,433.4,,,,,,,,
TOW,-93.262882,44.923811,90,02/12/2019 11:58pm,"4342 Chicago Avenue South,Minneapolis,MN",44.923811,-93.262882,8,Nokomis,Regina,5,1,Westminster,MSA,8525.0,805.0,,,,,,,,
TOW,-93.282878,44.988683,91,02/12/2019 11:58pm,"998 4th st n,Minneapolis,MN",44.988683,-93.282878,5,Central,North Loop,1,1,Westminster,MSA,1969.6,223.7,,,,,,,,
TOW,-93.238172,44.967234,92,02/13/2019 12:00am,"24TH AVE S & 9TH ST ,Minneapolis,MN",44.967234,-93.238172,2,University,Cedar Riverside,4,1,Westminster,MSA,6980.8,636.1,,,,,,,,
TOW,-93.252641,45.013465,93,02/13/2019 12:01am,"2500 Monroe st ne,Minneapolis,MN",45.013465,-93.252641,1,Northeast,Holland,2,1,Westminster,RES,6625.3,632.7,,,,,,,,
TOW,-93.301717,44.95106,94,02/13/2019 12:03am,"2845 Irving Ave S,Minneapolis,MN",44.95106,-93.301717,7,Calhoun Isle,East Isles,3,1,Westminster,RES,4194.6,471.5,,,,,,,,
TOW,-93.235611,45.012673,95,02/13/2019 12:05am,"1720 Lowery ave ne,Minneapolis,MN",45.012673,-93.235611,1,Northeast,Windom Park,2,1,Westminster,CSAH,7916.3,736.0,,,,,,,,
TOW,-93.227338,44.940287,96,02/13/2019 12:05am,"3432 31st Avenue South,Minneapolis,MN",44.940287,-93.227338,12,Longfellow,Howe,6,1,Westminster,MSA,8922.9,715.4,,,,,,,,
TOW,-93.294206,44.958399,97,02/13/2019 12:07am,"2425 Hennepin Ave South,Minneapolis,MN",44.958399,-93.294206,10,Calhoun Isle,Lowry Hill East,3,1,Westminster,RES,3376.6,382.6,,,,,,,,
TOW,-93.219368,44.971363,98,02/13/2019 12:08am,"201-299 27th av se,Minneapolis,MN",44.971363,-93.219368,2,University,Prospect Park - East River Road,4,1,Westminster,CSAH,8822.3,759.5,,,,,,,,
TOW,-93.252175,44.944554,99,02/13/2019 12:10am,"3201 Bloomington Ave S ,Minneapolis,MN",44.944554,-93.252175,9,Powderhorn,Powderhorn Park,6,1,Westminster,MSA,6867.9,677.6,,,,,,,,
TOW,-93.257071,44.989004,100,02/13/2019 12:11am,"99-1 University ave Ne,Minneapolis,MN",44.989004,-93.257071,3,University,Nicollet Island - East Bank,2,1,Westminster,CSAH,3734.2,442.9,,,,,,,,
TOW,-93.275327,44.934118,101,02/13/2019 12:11am,"1-99 38th St E,Minneapolis,MN",44.934118,-93.275327,8,Southwest,King Field,5,1,Westminster,LOCAL,6442.2,607.4,,,,,,,,
TOW,-93.294047,45.014927,102,02/13/2019 12:11am,"3298 Emerson ave n ,Minneapolis,MN",45.014927,-93.294047,4,Camden,Folwell,1,1,Westminster,RES,4496.1,475.8,,,,,,,,
TOW,-93.294726,44.962898,103,02/13/2019 12:12am,"1200 franklin,Minneapolis,MN",44.962898,-93.294726,7,Calhoun Isle,Lowry Hill,3,1,Westminster,LOCAL,2888.9,314.2,,,,,,,,
TOW,-93.278261,44.98543,104,02/13/2019 12:12am,"600 4th st n,Minneapolis,MN",44.98543,-93.278261,3,Central,North Loop,1,1,Westminster,MSA,2026.5,277.0,,,,,,,,
TOW,-93.258657,44.987179,105,02/13/2019 12:13am,"2 - 98 Lourdes pl,Minneapolis,MN",44.987179,-93.258657,3,University,Nicollet Island - East Bank,4,1,Westminster,LOCAL,3372.0,397.2,,,,,,,,
TOW,-93.227082,44.948377,106,02/13/2019 12:14am,"3000 31st av s,Minneapolis,MN",44.948377,-93.227082,2,Longfellow,Longfellow,4,1,Westminster,MSA,8222.7,685.4,,,,,,,,
TOW,-93.245455,44.983952,107,02/13/2019 12:14am,"700 4st n,Minneapolis,MN",44.983952,-93.245455,3,University,Marcy Holmes,4,1,Westminster,RES,4623.1,521.8,,,,,,,,
TOW,-93.29531,45.016914,108,02/13/2019 12:14am,"3400-3498 Fremont ave n ,Minneapolis,MN",45.016914,-93.29531,4,Camden,Folwell,1,1,Westminster,RES,4753.0,502.0,,,,,,,,
TOW,-93.298375,44.952833,109,02/13/2019 12:15am,"2730 hennepin ,Minneapolis,MN",44.952833,-93.298375,7,Calhoun Isle,East Isles,3,1,Westminster,MSA,3733.0,385.5,,,,,,,,
TOW,-93.257863,44.986553,110,02/13/2019 12:15am,"98 Lourdes Pl Ne,Minneapolis,MN",44.986553,-93.257863,3,University,Nicollet Island - East Bank,4,1,Westminster,LOCAL,3465.2,414.0,,,,,,,,
TOW,-93.220409,44.926932,111,02/13/2019 12:16am,"3600 42nd st,Minneapolis,MN",44.926932,-93.220409,12,Longfellow,Hiawatha,6,1,Westminster,RES,10251.1,801.7,,,,,,,,
TOW,-93.278943,44.985788,112,02/13/2019 12:16am,"700 4th st n ,Minneapolis,MN",44.985788,-93.278943,3,Central,North Loop,1,1,Westminster,MSA,2092.5,288.9,,,,,,,,
TOW,-93.262802,44.924992,113,02/13/2019 12:17am,"4300 Chicago ave s,Minneapolis,MN",44.924992,-93.262802,8,Nokomis,Regina,5,1,Westminster,RES,8407.3,783.8,,,,,,,,
TOW,-93.282678,44.967838,114,02/13/2019 12:19am,"300 15TH ST W,Minneapolis,MN",44.967838,-93.282678,7,Central,Loring Park,3,1,Westminster,MSA,2190.9,237.9,,,,,,,,
TOW,-93.243184,44.960982,115,02/13/2019 12:20am,"2188 MINNEHAHA AVE S,Minneapolis,MN",44.960982,-93.243184,6,Longfellow,Seward,4,1,Westminster,MSA,6307.8,540.8,,,,,,,,
TOW,-93.298584,44.952607,116,02/13/2019 12:20am,"2736 HENNEPIN AVE ,Minneapolis,MN",44.952607,-93.298584,7,Calhoun Isle,East Isles,3,1,Westminster,MSA,3761.9,388.1,,,,,,,,
TOW,-93.22709,44.946834,117,02/13/2019 12:21am,"3100 31st ave s,Minneapolis,MN",44.946834,-93.22709,2,Longfellow,Longfellow,6,1,Westminster,MSA,8394.2,699.1,,,,,,,,
TOW,-93.282678,44.967838,118,02/13/2019 12:23am,"300 15TH ST W,Minneapolis,MN",44.967838,-93.282678,7,Central,Loring Park,3,1,Westminster,MSA,2190.9,237.9,,,,,,,,
TOW,-93.290992,44.984098,119,02/13/2019 12:24am,"401 6th avenue North,Minneapolis,MN",44.984098,-93.290992,5,Near North,Sumner - Glenwood,3,1,Westminster,RES,830.7,164.5,,,,,,,,
TOW,-93.253432,44.934315,120,02/13/2019 12:27am,"1500 BLOCK 38TH ST E,Minneapolis,MN",44.934315,-93.253432,9,Powderhorn,Powderhorn Park,6,1,Westminster,MSA,8147.5,755.1,,,,,,,,
TOW,-93.250682,44.946418,121,02/13/2019 12:27am,"1611 31st st e,Minneapolis,MN",44.946418,-93.250682,9,Powderhorn,Powderhorn Park,6,1,Westminster,MSA,7624.2,664.9,,,,,,,,
TOW,-93.286022,44.968446,122,02/13/2019 12:29am,"300 498 15th Street West,Minneapolis,MN",44.968446,-93.286022,7,Central,Loring Park,3,1,Westminster,MSA,1916.3,213.2,,,,,,,,
TOW,-93.295666,45.025781,123,02/13/2019 12:35am,"3898 Fremont Ave n,Minneapolis,MN",45.025781,-93.295666,4,Camden,Webber - Camden,1,1,Westminster,MSA,6941.9,546.2,,,,,,,,
TOW,-93.216134,44.972643,124,02/13/2019 12:36am,"2830 4th st se,Minneapolis,MN",44.972643,-93.216134,2,University,Prospect Park - East River Road,4,1,Westminster,MSA,9102.5,780.4,,,,,,,,
TOW,-93.295474,45.029726,125,02/13/2019 12:36am,"4100 Freemont Ave N,Minneapolis,MN",45.029726,-93.295474,4,Camden,Webber - Camden,1,1,Westminster,RES,7386.0,583.9,,,,,,,,
TOW,-93.273786,44.940513,126,02/13/2019 12:38am,"3425 2ND AVE S,Minneapolis,MN",44.940513,-93.273786,9,Powderhorn,Central,5,1,Westminster,LOCAL,6235.6,591.6,,,,,,,,
TOW,-93.301753,44.950525,127,02/13/2019 12:38am,"2861 Irving Ave s,Minneapolis,MN",44.950525,-93.301753,7,Calhoun Isle,East Isles,3,1,Westminster,RES,4294.0,489.4,,,,,,,,
TOW,-93.239958,44.963689,128,02/12/2019 11:42pm,"2217 S 9 St,Minneapolis,MN",44.963689,-93.239958,6,Longfellow,Seward,4,1,Westminster,LOCAL,6814.5,633.4,,,,,,,,
TOW,-93.243107,44.960177,129,02/13/2019 12:39am,"2296 MINNEHAHA AVE,Minneapolis,MN",44.960177,-93.243107,6,Longfellow,Seward,4,1,Westminster,MSA,6349.4,554.6,,,,,,,,
TOW,-93.296901,45.023996,130,02/13/2019 12:41am,"1398 Dowling Ave n,Minneapolis,MN",45.023996,-93.296901,4,Camden,Folwell,1,1,Westminster,MSA,6844.5,539.4,,,,,,,,
